url,title,description,price,currency,rooms,bathrooms,postal_code,city,furnished
https://immovlan.be/en/detail/apartment/for-sale/9940/kluizen/rbt68849,Immovlan,"Discover all real estate for sale and for rent: houses, apartments, businesses, garages, offices, land for agriculture or development, student rooms, studios and many other properties.",,,,,,,
https://immovlan.be/en/detail/mixed-building/for-sale/6511/stree/vbc89216,Immovlan,"Discover all real estate for sale and for rent: houses, apartments, businesses, garages, offices, land for agriculture or development, student rooms, studios and many other properties.",,,,,,,
https://immovlan.be/en/detail/residence/for-sale/8511/aalbeke/rbt68813,Immovlan,"Discover all real estate for sale and for rent: houses, apartments, businesses, garages, offices, land for agriculture or development, student rooms, studios and many other properties.",,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/9140/temse/rbt68509,Immovlan,"Discover all real estate for sale and for rent: houses, apartments, businesses, garages, offices, land for agriculture or development, student rooms, studios and many other properties.",,,,,,,
https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbt68796,Immovlan,"Discover all real estate for sale and for rent: houses, apartments, businesses, garages, offices, land for agriculture or development, student rooms, studios and many other properties.",,,,,,,
https://immovlan.be/en/detail/residence/for-sale/8800/roeselare/rbt68503,Immovlan,"Discover all real estate for sale and for rent: houses, apartments, businesses, garages, offices, land for agriculture or development, student rooms, studios and many other properties.",,,,,,,
https://immovlan.be/en/detail/residence/for-sale/8820/torhout/rbt68819,Immovlan,"Discover all real estate for sale and for rent: houses, apartments, businesses, garages, offices, land for agriculture or development, student rooms, studios and many other properties.",,,,,,,
https://immovlan.be/en/detail/villa/for-sale/6010/couillet/vbc88786,Immovlan,"Discover all real estate for sale and for rent: houses, apartments, businesses, garages, offices, land for agriculture or development, student rooms, studios and many other properties.",,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/8430/middelkerke/rbt68093,Immovlan,"Discover all real estate for sale and for rent: houses, apartments, businesses, garages, offices, land for agriculture or development, student rooms, studios and many other properties.",,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/4420/saint-nicolas/vbc88999,Immovlan,"Discover all real estate for sale and for rent: houses, apartments, businesses, garages, offices, land for agriculture or development, student rooms, studios and many other properties.",,,,,,,
https://immovlan.be/en/detail/residence/for-sale/8800/roeselare/rbt68236,Immovlan,"Discover all real estate for sale and for rent: houses, apartments, businesses, garages, offices, land for agriculture or development, student rooms, studios and many other properties.",,,,,,,
https://immovlan.be/en/detail/residence/for-sale/5377/somme-leuze/vbc88699,Immovlan,"Discover all real estate for sale and for rent: houses, apartments, businesses, garages, offices, land for agriculture or development, student rooms, studios and many other properties.",,,,,,,
https://immovlan.be/en/detail/residence/for-sale/7750/mont-de-l-enclus/rbt68680,Immovlan,"Discover all real estate for sale and for rent: houses, apartments, businesses, garages, offices, land for agriculture or development, student rooms, studios and many other properties.",,,,,,,
https://immovlan.be/en/detail/residence/for-sale/6560/erquelinnes/vbc88870,Immovlan,"Discover all real estate for sale and for rent: houses, apartments, businesses, garages, offices, land for agriculture or development, student rooms, studios and many other properties.",,,,,,,
https://immovlan.be/en/detail/villa/for-sale/5590/ciney/vbc88779,Immovlan,"Discover all real estate for sale and for rent: houses, apartments, businesses, garages, offices, land for agriculture or development, student rooms, studios and many other properties.",,,,,,,
https://immovlan.be/en/detail/master-house/for-sale/7890/ellezelles/rbt68420,Immovlan,"Discover all real estate for sale and for rent: houses, apartments, businesses, garages, offices, land for agriculture or development, student rooms, studios and many other properties.",,,,,,,
https://immovlan.be/en/detail/residence/for-sale/4020/liege/vbc88551,Immovlan,"Discover all real estate for sale and for rent: houses, apartments, businesses, garages, offices, land for agriculture or development, student rooms, studios and many other properties.",,,,,,,
https://immovlan.be/en/detail/ground-floor/for-sale/1200/sint-lambrechts-woluwe/vbc88713,Immovlan,"Discover all real estate for sale and for rent: houses, apartments, businesses, garages, offices, land for agriculture or development, student rooms, studios and many other properties.",,,,,,,
https://immovlan.be/en/detail/residence/for-sale/4000/liege/vbc88904,Immovlan,"Discover all real estate for sale and for rent: houses, apartments, businesses, garages, offices, land for agriculture or development, student rooms, studios and many other properties.",,,,,,,
https://immovlan.be/en/detail/ground-floor/for-sale/8800/roeselare/rbt68306,Immovlan,"Discover all real estate for sale and for rent: houses, apartments, businesses, garages, offices, land for agriculture or development, student rooms, studios and many other properties.",,,,,,,
https://immovlan.be/en/detail/duplex/for-sale/7100/la-louviere/vbc88944,Immovlan,"Discover all real estate for sale and for rent: houses, apartments, businesses, garages, offices, land for agriculture or development, student rooms, studios and many other properties.",,,,,,,
https://immovlan.be/en/detail/residence/for-sale/9860/oosterzele/rbt68590,Immovlan,"Discover all real estate for sale and for rent: houses, apartments, businesses, garages, offices, land for agriculture or development, student rooms, studios and many other properties.",,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/1730/asse/rbt67945,Immovlan,"Discover all real estate for sale and for rent: houses, apartments, businesses, garages, offices, land for agriculture or development, student rooms, studios and many other properties.",,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/2260/zoerle-parwijs/rbt67578,Immovlan,"Discover all real estate for sale and for rent: houses, apartments, businesses, garages, offices, land for agriculture or development, student rooms, studios and many other properties.",,,,,,,
https://immovlan.be/en/detail/residence/for-sale/3070/kortenberg/rbt67764,Immovlan,"Discover all real estate for sale and for rent: houses, apartments, businesses, garages, offices, land for agriculture or development, student rooms, studios and many other properties.",,,,,,,
https://immovlan.be/en/detail/residence/for-sale/2440/geel/rbt67563,Immovlan,"Discover all real estate for sale and for rent: houses, apartments, businesses, garages, offices, land for agriculture or development, student rooms, studios and many other properties.",,,,,,,
https://immovlan.be/en/detail/residence/for-sale/7100/haine-saint-pierre/vbc88244,Immovlan,"Discover all real estate for sale and for rent: houses, apartments, businesses, garages, offices, land for agriculture or development, student rooms, studios and many other properties.",,,,,,,
https://immovlan.be/en/detail/residence/for-sale/9940/evergem/rbt67760,Immovlan,"Discover all real estate for sale and for rent: houses, apartments, businesses, garages, offices, land for agriculture or development, student rooms, studios and many other properties.",,,,,,,
